10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7.12,7.32,7.52,7.565,7.61,7.645,7.68,7.62,7.56,7.62,7.68,7.72,7.76,7.755,7.75,7.635,7.52,7.51,7.5,7.48,7.46,7.595,7.73,7.8,7.87,8.01,8.15,8.06,7.97,7.73,7.49
6.29,6.375,6.46,6.49,6.52,6.57,6.62,6.575,6.53,6.555,6.58,6.62,6.66,6.595,6.53,6.52,6.51,6.485,6.46,6.445,6.43,6.55,6.67,6.74,6.81,6.935,7.06,7.07,7.08,6.805,6.53
5.18,5.18,5.18,5.255,5.33,5.38,5.43,5.49,5.55,5.505,5.46,5.46,5.46,5.475,5.49,5.425,5.36,5.42,5.48,5.49,5.5,5.55,5.6,5.675,5.75,5.875,6,5.975,5.95,5.875,5.8
4.32,4.25,4.18,4.195,4.21,4.265,4.32,4.32,4.32,4.37,4.42,4.405,4.39,4.37,4.35,4.385,4.42,4.4,4.38,4.43,4.48,4.515,4.55,4.63,4.71,4.775,4.84,4.88,4.92,4.915,4.91
3.52,3.36,3.2,3.11,3.02,2.995,2.97,3.14,3.31,3.32,3.33,3.3,3.27,3.23,3.19,3.225,3.26,3.28,3.3,3.325,3.35,3.455,3.56,3.575,3.59,3.625,3.66,3.85,4.04,4.115,4.19
2.56,2.255,1.95,2.045,2.14,2.06,1.98,2.065,2.15,2.165,2.18,2.245,2.31,2.2,2.09,2.07,2.05,2.09,2.13,2.185,2.24,2.345,2.45,2.47,2.49,2.56,2.63,2.75,2.87,3.105,3.34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
